time,vehicle_id,co2,fuel,nox
0.00,veh0,2298.06,733.06,0.96
1.00,veh0,2304.91,735.25,0.95
2.00,veh0,2407.39,767.95,0.99
3.00,veh0,2386.59,761.33,0.98
4.00,veh0,2495.65,796.13,1.02
5.00,veh0,2812.03,897.08,1.16
5.00,veh1,2298.06,733.06,0.96
6.00,veh0,2629.13,838.74,1.06
6.00,veh1,2334.39,744.66,0.97
7.00,veh0,2761.81,881.08,1.11
7.00,veh1,2495.24,795.99,1.03
7.00,veh7,2298.06,733.06,0.96
8.00,veh0,2905.06,926.79,1.17
8.00,veh1,2526.23,805.88,1.04
8.00,veh7,2329.71,743.16,0.96
9.00,veh0,3029.46,966.49,1.22
9.00,veh1,2406.98,767.85,0.97
9.00,veh2,2298.06,733.06,0.96
9.00,veh7,2443.84,779.59,1.01
10.00,veh0,2708.36,864.06,1.06
10.00,veh1,2778.38,886.35,1.14
10.00,veh2,2286.02,729.22,0.95
10.00,veh7,2368.00,755.40,0.97
11.00,veh0,3345.11,1067.21,1.35
11.00,veh1,2516.60,802.84,1.01
11.00,veh2,2390.29,762.50,0.99
11.00,veh7,2388.43,761.93,0.97
12.00,veh0,3228.38,1029.98,1.28
12.00,veh1,2801.19,893.65,1.13
12.00,veh2,2400.38,765.73,0.99
12.00,veh7,2822.16,900.31,1.16
12.00,veh8,2298.06,733.06,0.96
13.00,veh0,3364.04,1073.27,1.34
13.00,veh1,2985.69,952.52,1.21
13.00,veh2,2504.85,799.06,1.03
13.00,veh7,2974.84,949.03,1.22
13.00,veh8,2310.41,737.01,0.96
14.00,veh0,4172.68,1331.26,1.71
14.00,veh1,2903.45,926.29,1.16
14.00,veh2,2608.45,832.13,1.07
14.00,veh3,2298.06,733.06,0.96
14.00,veh7,2684.03,856.27,1.08
14.00,veh8,2433.23,776.20,1.01
15.00,veh0,4089.10,1304.60,1.65
15.00,veh1,3581.29,1142.55,1.47
15.00,veh2,2872.51,916.38,1.18
15.00,veh3,2314.57,738.33,0.96
15.00,veh7,2810.83,896.73,1.13
15.00,veh8,2365.60,754.64,0.97
16.00,veh0,3401.70,1085.32,1.31
16.00,veh1,3864.51,1232.92,1.59
16.00,veh2,3102.43,989.75,1.28
16.00,veh3,2415.16,770.43,1.00
16.00,veh7,3259.51,1039.88,1.33
16.00,veh8,2683.15,855.95,1.11
17.00,veh0,4263.37,1360.22,1.71
17.00,veh1,3836.00,1223.84,1.56
